split,horizon,calibrated,n_samples,n_positive,base_rate,roc_auc,pr_auc,brier,log_loss,top1_prec,top1_rec,top5_prec,top5_rec,top10_prec,top10_rec
train,6m,raw,38157,555,0.014545,0.985904,0.517556,0.075453,0.301116,0.580052,0.398198,0.260619,0.895495,0.143906,0.989189
train,6m,calibrated,38157,555,0.014545,0.985904,0.517556,0.01034,0.039831,0.580052,0.398198,0.260619,0.895495,0.143906,0.989189
train,12m,raw,38157,747,0.019577,0.987671,0.648454,0.081912,0.324285,0.716535,0.365462,0.359727,0.91834,0.194233,0.991968
train,12m,calibrated,38157,747,0.019577,0.98783,0.644246,0.011774,0.049001,0.721785,0.368139,0.357105,0.911647,0.194233,0.991968
train,18m,raw,32330,778,0.024064,0.987982,0.692205,0.117913,0.443231,0.814241,0.338046,0.421411,0.875321,0.239715,0.996144
train,18m,calibrated,32330,778,0.024064,0.988291,0.691582,0.015277,0.060637,0.804954,0.33419,0.425743,0.884319,0.239715,0.996144
train,24m,raw,27524,785,0.028521,0.989101,0.72459,0.125284,0.487144,0.84,0.294268,0.497093,0.871338,0.28452,0.997452
train,24m,calibrated,27524,785,0.028521,0.989505,0.730419,0.018145,0.07505,0.836364,0.292994,0.497093,0.871338,0.28452,0.997452
val,6m,raw,6822,140,0.020522,0.971413,0.404055,0.069498,0.286069,0.485294,0.235714,0.307918,0.75,0.196481,0.957143
val,6m,calibrated,6822,140,0.020522,0.971413,0.404055,0.015252,0.054842,0.485294,0.235714,0.307918,0.75,0.196481,0.957143
